location,title,category,id,start,duration,url,source
"Norge, Oslo",Senior IT Analyst for Payments - Nordics,Data & Analytics,#130341,,Duration 1-2 months,https://emagine.no/konsulenter/freelance-jobs/130341/senior-it-analyst-for-payments-nordics?id=165061,Emagine
"Norge, Tromso",Prosjektleder for Testmiljø og testdata (2024/842),Fully Remote,#130239,13-01-2025,Duration 10-12 months,https://emagine.no/konsulenter/freelance-jobs/130239/prosjektleder-for-testmiljo-og-testdata-2024-842?id=165028,Emagine
"Norge, Bergen",Testleder Byggstøtte,Test & QA,#130224,22-01-2025,Duration 10-12 months,https://emagine.no/konsulenter/freelance-jobs/130224/testleder-byggstotte?id=165019,Emagine
"Norge, Horten","Delprosjektleder prosesser, spesifikasjon og utvikling",Prosjektleveranse,#130223,12-01-2025,Duration 4-6 months,https://emagine.no/konsulenter/freelance-jobs/130223/delprosjektleder-prosesser-spesifikasjon-og-utvikling?id=165017,Emagine
"Norge, Drammen",Seniorkonsulent til rådgivning og systemverifikasjon - Nytt sykehus Drammen,Strategy & Transformation,#130188,13-01-2025,Duration 10-12 months,https://emagine.no/konsulenter/freelance-jobs/130188/seniorkonsulent-til-radgivning-og-systemverifikasjon-nytt-sykehus-drammen?id=164992,Emagine
"Norge, Oslo",Senior Payroll Project manager - Location Oslo.,Prosjektleveranse,#130178,19-01-2025,Duration 10-12 months,https://emagine.no/konsulenter/freelance-jobs/130178/senior-payroll-project-manager-location-oslo?id=164990,Emagine
Gjøvik og Remote,Konsulenter til generelle sikkerhetstjenester,"Risk, Security & Compliance",#130176,09-02-2025,Duration 10-12 months,https://emagine.no/konsulenter/freelance-jobs/130176/konsulenter-til-generelle-sikkerhetstjenester?id=164989,Emagine
"Norge, Oslo",Sikkerhetstjenester og Sikkerhetstesting,"Risk, Security & Compliance",#130161,26-01-2025,Duration 10-12 months,https://emagine.no/konsulenter/freelance-jobs/130161/sikkerhetstjenester-og-sikkerhetstesting?id=164982,Emagine
"Norge, Oslo",Prosjektleder,Prosjektleveranse,#130134,10-01-2025,Duration 7-9 months,https://emagine.no/konsulenter/freelance-jobs/130134/prosjektleder?id=164956,Emagine
"Norge, Oslo",Senior konulent til utarbeidelse av innsynsløsning universielll utforming,Data & Analytics,#130050,10-02-2025,Duration 4-6 months,https://emagine.no/konsulenter/freelance-jobs/130050/senior-konulent-til-utarbeidelse-av-innsynslosning-universielll-utforming?id=164901,Emagine
"Norge, Horten",Sikkerhetsarkitekt,IT Infrastructure & Operations,#130015,22-12-2024,Duration 10-12 months,https://emagine.no/konsulenter/freelance-jobs/130015/sikkerhetsarkitekt?id=164881,Emagine
"Norge, Trondheim",Konsulent med kompetanse innen informasjonssikkerhet og lov om digital sikkerhet,"Risk, Security & Compliance",#129968,,Duration 4-6 months,https://emagine.no/konsulenter/freelance-jobs/129968/konsulent-med-kompetanse-innen-informasjonssikkerhet-og-lov-om-digital-sikkerhet?id=164860,Emagine
"Norge, Stavanger",Consultant Implementation of System (SQL Server/ Oracle experience),IT Infrastructure & Operations,#129471,,Duration 7-9 months,https://emagine.no/konsulenter/freelance-jobs/129471/consultant-implementation-of-system-sql-server-oracle-experience?id=164520,Emagine
"Norge, Oslo",Erfaren arkitekt/sikkerhetskonsulent med D365 kompetanse,"Risk, Security & Compliance",#129416,,Duration 1-2 months,https://emagine.no/konsulenter/freelance-jobs/129416/erfaren-arkitekt-sikkerhetskonsulent-med-d365-kompetanse?id=164476,Emagine