id,title,client,deadline,url,source
?id=a02d1000000fB4MAAU&title=Fullstackutvikler%20til%20PostIT,Fullstackutvikler til PostIT,"NRK | Fullstackutvikler",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000fB4MAAU&title=Fullstackutvikler%20til%20PostIT,Kons
?id=a02d1000000fArRAAU&title=UX,UX-designer til PostIT,"NRK | UX-designer",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000fArRAAU&title=UX-designer%20til%20PostIT,Kons
?id=a02d1000000fA1pAAE&title=Backendutvikler%20for%20tjenesteutvikling%20i%20Post%20IT,Backendutvikler for tjenesteutvikling i Post IT-teamet hos NRK,"NRK | Backendutvikler",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000fA1pAAE&title=Backendutvikler%20for%20tjenesteutvikling%20i%20Post%20IT-teamet%20hos%20NRK,Kons
?id=a02d1000000f8o3AAA&title=Bistand%20til%20gjennomf%C3%B8ring%20prosjekt%20Sikker%20chat%20,Bistand til gjennomføring prosjekt Sikker chat - prosjektledelse,"Kommunesektorens organisasjon | Prosjektledelse",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000f8o3AAA&title=Bistand%20til%20gjennomf%C3%B8ring%20prosjekt%20Sikker%20chat%20-%20prosjektledelse,Kons
?id=a02d1000000enN0AAI&title=Frontendutvikler%20til%20Designteamet,Frontendutvikler til Designteamet,"Digitaliseringdirektoratet | Frontendutvikler",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000enN0AAI&title=Frontendutvikler%20til%20Designteamet,Kons
?id=a02d1000000cmIBAAY&title=Business%20expert%20with%20expertise%20in%20flow,Business expert with expertise in flow-based energy grid capacity calculations,"Nordic RCC | Flow-based business expert",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000cmIBAAY&title=Business%20expert%20with%20expertise%20in%20flow-based%20energy%20grid%20capacity%20calculations,Kons
?id=a02d1000000cfVBAAY&title=UI%20designer,UI designer,"Sokkeldirektoratet | UI designer",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000cfVBAAY&title=UI%20designer,Kons
release,Test/release-ressurs,"Sokkeldirektoratet | Test",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000cfRxAAI&title=Test/release-ressurs,Kons
?id=a02d1000000cdzdAAA&title=.Net%20utviklere%20med%20mikrotjenester,.Net utviklere med mikrotjenester- og hendelsesorientert arkitektur-erfaring,"Digitaliseringdirektoratet |",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000cdzdAAA&title=.Net%20utviklere%20med%20mikrotjenester-%20og%20hendelsesorientert%20arkitektur-erfaring,Kons
?id=a02d1000000cMp7AAE&title=IT,"IT-konsulenter til rådgivning, forvaltning og videreutvikling av Microsoft 365 og Power Platform-tjenester","Statsbygg | Konsulentbistand for Microsoft 365 og Power Platform - 2 roller",Konsulentoppdrag,"https://kons.no/oppdrag/?id=a02d1000000cMp7AAE&title=IT-konsulenter%20til%20r%C3%A5dgivning,%20forvaltning%20og%20videreutvikling%20av%20Microsoft%20365%20og%20Power%20Platform-tjenester",Kons
?id=a02d1000000cCucAAE&title=Prosjektr%C3%A5dgiver%20og%20prosjektkoordinator%20med%20HR%20kompetanse,Prosjektrådgiver og prosjektkoordinator med HR kompetanse,"Bergen kommune | HR",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000cCucAAE&title=Prosjektr%C3%A5dgiver%20og%20prosjektkoordinator%20med%20HR%20kompetanse,Kons
?id=a02d1000000bJi1AAE&title=Fullstack%20utviklere%20for%20eNavigasjon,Fullstack utviklere for eNavigasjon-teamet,"Kystverket | Fullstack utviklere for eNavigasjon-teamet",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000bJi1AAE&title=Fullstack%20utviklere%20for%20eNavigasjon-teamet,Kons
?id=a02d1000000TlhtAAC&title=Midlertidig%20operativ%20leder%20for%20produkt,Midlertidig operativ leder for produkt- og forretningsutvikling,"Norsk Rikstoto | Leder for produkt- og forretningsutvikling",Konsulentoppdrag,https://kons.no/oppdrag/?id=a02d1000000TlhtAAC&title=Midlertidig%20operativ%20leder%20for%20produkt-%20og%20forretningsutvikling,Kons